epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3618,1.25221,5.71891,1.15566,0.00138,0.9,0.38051,0.19798,0.67184,13.5381,0.67637,0.000365396,0.000365396,0.000365396
2,212.745,1.16189,4.51313,1.11378,0.57686,0.38081,0.4893,0.40564,0.47067,14.2529,0.59546,0.000723467,0.000723467,0.000723467
3,308.746,1.1238,4.27054,1.0921,0.242,0.3,0.3238,0.24532,0.73008,12.5395,0.72366,0.00106919,0.00106919,0.00106919
4,375.646,1.16576,4.45872,1.15947,0.27793,0.7,0.40238,0.30417,0.50469,14.0402,0.65997,0.00105545,0.00105545,0.00105545
5,428.157,1.15441,4.01006,1.13683,0.21706,0.72002,0.52247,0.3498,0.63308,15.4486,0.76204,0.00103693,0.00103693,0.00103693
6,486.399,1.02053,3.8278,1.09699,0.33403,0.38543,0.39573,0.31064,0.56206,10.6537,0.67657,0.00101842,0.00101842,0.00101842
7,557.442,1.03636,3.48853,1.09071,0.54749,0.5,0.50549,0.4133,0.59342,8.88449,0.7165,0.000999901,0.000999901,0.000999901
8,626.085,1.00181,3.13739,1.08344,0.1628,0.73757,0.41588,0.34581,0.43739,8.31411,0.63228,0.000981385,0.000981385,0.000981385
9,689.843,0.97114,3.05751,1.06288,0.17105,1,0.43343,0.35709,0.45508,8.80243,0.63916,0.000962868,0.000962868,0.000962868
10,758.689,0.99015,3.21227,1.02777,0.49671,0.64545,0.48802,0.42623,0.45618,8.35595,0.63452,0.000944352,0.000944352,0.000944352
11,822.178,0.93668,2.97991,1.04767,0.23301,0.87165,0.42506,0.37212,0.43629,7.34051,0.6272,0.000925835,0.000925835,0.000925835
12,881.304,0.88598,2.74631,1.01465,0.28174,0.6,0.48066,0.40077,0.47225,6.41486,0.64835,0.000907319,0.000907319,0.000907319
13,940.533,0.85182,2.7613,0.96318,0.23847,0.9,0.41947,0.35118,0.48139,5.73244,0.64509,0.000888802,0.000888802,0.000888802
14,999.075,0.93669,2.38233,1.0376,0.46539,0.5,0.51085,0.43848,0.54631,5.08758,0.67287,0.000870286,0.000870286,0.000870286
15,1060.87,0.9059,2.30846,0.99867,0.25812,0.7,0.62125,0.54082,0.4533,5.27157,0.63256,0.000851769,0.000851769,0.000851769
16,1118.71,0.90602,2.26403,1.00325,0.4076,0.4,0.54361,0.45563,0.43089,4.48441,0.59799,0.000833253,0.000833253,0.000833253
17,1176.65,0.78217,2.06709,0.89324,0.70464,0.5,0.54021,0.46123,0.39348,4.7296,0.59509,0.000814736,0.000814736,0.000814736
18,1234.88,0.73417,2.00179,0.84983,0.58695,0.57052,0.69883,0.59303,0.452,3.90804,0.62275,0.00079622,0.00079622,0.00079622
19,1296.91,0.86627,2.00222,0.94069,0.35089,0.8,0.61394,0.56803,0.4194,3.49357,0.6245,0.000777703,0.000777703,0.000777703
20,1357.93,0.87553,1.84561,0.97549,0.54007,0.70882,0.73122,0.59875,0.49178,3.42245,0.6335,0.000759187,0.000759187,0.000759187
21,1416.74,0.76135,1.73358,0.92531,0.74349,0.44834,0.67356,0.58928,0.39367,3.3419,0.60561,0.00074067,0.00074067,0.00074067
22,1464.61,0.85689,1.64209,0.99681,0.40879,0.91672,0.6695,0.60366,0.3749,3.1255,0.58098,0.000722154,0.000722154,0.000722154
23,1509.86,0.795,1.77786,0.88683,0.52314,0.71639,0.75383,0.671,0.41293,2.71952,0.60303,0.000703637,0.000703637,0.000703637
24,1555.54,0.79862,1.6575,0.97336,0.60868,0.88606,0.82833,0.71254,0.44138,2.85251,0.61246,0.000685121,0.000685121,0.000685121
25,1601.08,0.79564,1.70655,0.97271,0.44446,0.8,0.62767,0.55665,0.43614,2.41848,0.6109,0.000666604,0.000666604,0.000666604
26,1647.13,0.826,1.60254,0.93642,0.59717,0.7993,0.7739,0.69263,0.37275,2.26941,0.5791,0.000648088,0.000648088,0.000648088
27,1692.91,0.76756,1.44349,0.95978,0.59414,0.83463,0.78583,0.72071,0.33546,1.96469,0.57162,0.000629571,0.000629571,0.000629571
28,1738.73,0.70669,1.37953,0.88613,0.44947,0.9,0.89024,0.80121,0.3563,1.98345,0.57438,0.000611055,0.000611055,0.000611055
29,1784.21,0.73024,1.37149,0.92302,0.45504,0.95414,0.7355,0.64942,0.4096,1.97497,0.60611,0.000592539,0.000592539,0.000592539
30,1829.69,0.755,1.33667,0.92322,0.68678,0.55466,0.5865,0.52241,0.39162,2.17446,0.59464,0.000574022,0.000574022,0.000574022
31,1874.96,0.78176,1.31795,0.95231,0.66091,0.8,0.91167,0.83089,0.39023,1.84708,0.59798,0.000555506,0.000555506,0.000555506
32,1920.17,0.75377,1.30647,0.91693,0.78966,0.63171,0.835,0.75155,0.42544,2.0825,0.6249,0.000536989,0.000536989,0.000536989
33,1965.24,0.74108,1.22158,0.96056,0.75442,0.5,0.72024,0.66478,0.35232,2.21061,0.58359,0.000518473,0.000518473,0.000518473
34,2010.96,0.65182,1.21241,0.87466,0.52952,0.72963,0.77867,0.73487,0.31446,2.00486,0.55528,0.000499956,0.000499956,0.000499956
35,2056.47,0.66399,1.14482,0.89283,0.50238,0.95224,0.812,0.76092,0.31011,1.69877,0.56041,0.00048144,0.00048144,0.00048144
36,2101.96,0.68189,1.08037,0.89833,0.60561,0.97795,0.91167,0.85077,0.31514,1.57637,0.5733,0.000462923,0.000462923,0.000462923
37,2147.55,0.6493,1.06123,0.89115,0.7698,0.81854,0.862,0.80024,0.34998,1.51297,0.58055,0.000444407,0.000444407,0.000444407
38,2192.45,0.6893,1.04864,0.94378,0.72135,0.9813,0.86217,0.80097,0.33775,1.61376,0.57137,0.00042589,0.00042589,0.00042589
39,2237.31,0.65501,0.94986,0.90686,0.75046,0.63266,0.82833,0.78284,0.31558,1.64005,0.57083,0.000407374,0.000407374,0.000407374
40,2282.37,0.66975,0.96841,0.92925,0.65841,0.96407,0.86167,0.7923,0.38501,1.38864,0.59712,0.000388857,0.000388857,0.000388857
41,2327.88,0.70628,1.01332,0.91818,0.6576,0.88578,0.812,0.77959,0.38997,1.50107,0.611,0.000370341,0.000370341,0.000370341
42,2373.43,0.7104,0.98385,0.90611,0.67923,0.89581,0.82833,0.75212,0.38538,1.59459,0.60212,0.000351824,0.000351824,0.000351824
43,2418.68,0.60328,0.92264,0.85652,0.85831,0.82023,0.92833,0.81665,0.40478,1.44423,0.60626,0.000333308,0.000333308,0.000333308
44,2463.88,0.56078,0.89177,0.82859,0.73403,0.72844,0.91167,0.85272,0.35315,1.37561,0.57904,0.000314791,0.000314791,0.000314791
45,2509.27,0.66154,0.93133,0.85942,0.6802,0.8782,0.82867,0.75177,0.35062,1.37034,0.5819,0.000296275,0.000296275,0.000296275
46,2554.46,0.63673,0.95691,0.8879,0.7433,0.7,0.762,0.72793,0.32477,1.36219,0.57974,0.000277758,0.000277758,0.000277758
47,2599.66,0.59062,0.83926,0.86912,0.59697,0.89807,0.7739,0.72198,0.34562,1.35084,0.59128,0.000259242,0.000259242,0.000259242
48,2645.15,0.56866,0.84751,0.84201,0.71258,0.87407,0.77407,0.72434,0.34784,1.34648,0.58674,0.000240725,0.000240725,0.000240725
49,2690.85,0.59119,0.79974,0.84817,0.62365,0.86739,0.84024,0.78027,0.32941,1.28124,0.58565,0.000222209,0.000222209,0.000222209
50,2736.08,0.53102,0.76401,0.83202,0.84007,0.88152,0.90167,0.84441,0.33296,1.19757,0.57607,0.000203692,0.000203692,0.000203692
51,2781.91,0.54093,0.66657,0.84643,0.75296,0.74802,0.86167,0.7965,0.3528,1.18159,0.59002,0.000185176,0.000185176,0.000185176
52,2827.28,0.54365,0.65471,0.84133,0.70233,0.88191,0.86833,0.81828,0.31688,1.18997,0.5734,0.000166659,0.000166659,0.000166659
53,2872.79,0.5173,0.6613,0.80599,0.87031,0.88295,0.935,0.86594,0.33853,1.13269,0.57815,0.000148143,0.000148143,0.000148143
54,2917.98,0.55119,0.63466,0.86178,0.78312,0.77935,0.895,0.82205,0.32002,1.09042,0.56849,0.000129626,0.000129626,0.000129626
55,2963.57,0.52119,0.64833,0.81549,0.93208,0.81672,0.945,0.87581,0.33157,1.04856,0.57286,0.00011111,0.00011111,0.00011111
56,3009.44,0.51508,0.61393,0.81161,0.84885,0.84704,0.92833,0.87896,0.33922,1.04946,0.57896,9.25935e-05,9.25935e-05,9.25935e-05
57,3055.08,0.50275,0.61854,0.8015,0.93445,0.85466,0.96167,0.89485,0.32711,0.98849,0.57643,7.4077e-05,7.4077e-05,7.4077e-05
58,3100.53,0.49172,0.62575,0.79013,0.90976,0.8411,0.945,0.89082,0.34286,1.02253,0.58314,5.55606e-05,5.55606e-05,5.55606e-05
59,3145.89,0.49151,0.59119,0.81072,0.84274,0.88653,0.945,0.87996,0.34047,1.05983,0.57922,3.70441e-05,3.70441e-05,3.70441e-05
60,3191.35,0.47326,0.59142,0.80575,0.87482,0.83461,0.945,0.88001,0.33835,1.04931,0.57876,1.85276e-05,1.85276e-05,1.85276e-05
