epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.81433,0.94729,2.81328,1.47074,0.00333,1,0.07768,0.0296,0.61633,3.22609,1.14417,2e-05,2e-05,2e-05
2,14.7069,0.62313,2.48407,1.22739,0.00333,1,0.2685,0.15174,0.40777,3.12769,0.96757,5.8812e-05,5.8812e-05,5.8812e-05
3,20.4769,0.49102,2.36486,1.11089,0.00333,1,0.83192,0.3404,0.29577,3.07851,0.85599,9.604e-05,9.604e-05,9.604e-05
4,26.4192,0.40684,2.18272,1.09248,0.00333,1,0.66773,0.37491,0.24869,3.03989,0.78108,0.000131684,0.000131684,0.000131684
5,32.2917,0.31684,2.01993,1.06791,0.00333,1,0.69595,0.61374,0.23015,3.01006,0.74895,0.000165744,0.000165744,0.000165744
6,38.3875,0.23475,1.63536,0.98135,0.00333,1,0.83944,0.73871,0.25125,2.92737,0.7636,0.00019822,0.00019822,0.00019822
7,44.8104,0.25758,1.79803,1.03938,0.00333,1,0.81722,0.76854,0.26546,2.80273,0.75336,0.000229112,0.000229112,0.000229112
8,51.0374,0.23966,1.05639,0.98318,0.00333,1,0.8204,0.8204,0.2274,2.74325,0.72934,0.00025842,0.00025842,0.00025842
9,57.1512,0.28816,1.09705,1.06197,0.00333,1,0.92,0.89753,0.25325,2.73305,0.75433,0.000286144,0.000286144,0.000286144
10,63.4201,0.24337,0.95151,0.97672,0.00333,1,0.995,0.94704,0.28311,2.74825,0.77015,0.000312284,0.000312284,0.000312284
11,70.1015,0.22618,0.81541,0.9292,0.00333,1,0.995,0.94704,0.31256,2.77351,0.77634,0.00033684,0.00033684,0.00033684
12,76.5484,0.44696,1.07032,1.04742,0.00333,1,0.995,0.94704,0.36457,2.84507,0.79517,0.000359812,0.000359812,0.000359812
13,83.3841,0.41055,0.9476,1.03827,0.00716,1,0.995,0.86506,0.4739,2.94601,0.86185,0.0003812,0.0003812,0.0003812
14,90.3801,0.27006,0.80031,0.94306,0.8591,0.6,0.88,0.75347,0.56075,2.74656,0.95759,0.000401004,0.000401004,0.000401004
