epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0889,2.53289,4.04079,2.09858,0.00191,0.43333,0.00407,0.00186,1.15287,4.0794,1.29959,7.145e-05,7.145e-05,7.145e-05
2,17.7062,1.73647,3.82673,1.49112,0.00334,1,0.02087,0.01319,0.87604,3.56062,0.96392,0.000155634,0.000155634,0.000155634
3,19.3087,1.16408,3.18098,1.07563,0.00344,1,0.02372,0.018,0.68409,3.46098,0.91232,0.00023812,0.00023812,0.00023812
4,20.7497,0.99202,2.78979,0.98147,0.00339,1,0.08093,0.04433,0.74592,3.34216,0.90637,0.000318909,0.000318909,0.000318909
5,22.0955,0.97221,2.42209,0.9787,0.00335,1,0.25698,0.18727,0.82054,3.14526,0.90728,0.000397999,0.000397999,0.000397999
6,23.5942,0.94953,2.01791,0.98381,0.00341,1,0.35408,0.17234,0.88581,3.05616,0.95245,0.000475393,0.000475393,0.000475393
7,25.3601,1.03823,1.92139,1.03067,0.00341,1,0.06433,0.04833,0.62614,3.16079,0.88655,0.000551088,0.000551088,0.000551088
8,26.6906,1.00304,1.70087,1.0292,0.00336,1,0.30604,0.26453,0.64361,3.13042,0.89156,0.000625086,0.000625086,0.000625086
9,28.2302,0.96153,1.54954,1.05749,0.00346,1,0.37111,0.26184,0.80752,3.08242,0.90603,0.000697386,0.000697386,0.000697386
10,30.4013,0.91989,1.40613,1.01171,0.00345,1,0.47315,0.34343,0.68408,2.95879,0.88972,0.000767989,0.000767989,0.000767989
11,32.325,0.8566,1.29227,1.00565,0.00345,1,0.75556,0.6318,0.70565,2.78018,0.91434,0.000836894,0.000836894,0.000836894
12,33.7935,0.85392,1.218,0.96712,0.75393,0.5,0.77333,0.60145,0.87011,2.44577,0.94158,0.000904101,0.000904101,0.000904101
13,35.1114,0.83876,1.16348,0.9739,0.79583,0.5,0.71806,0.59151,0.73538,2.37301,0.92008,0.000969611,0.000969611,0.000969611
14,36.4024,0.87016,1.15939,0.97181,1,0.33266,0.93944,0.78451,0.68918,2.19985,0.90286,0.00103342,0.00103342,0.00103342
15,37.7154,0.80689,1.12433,0.98251,0.93424,0.33333,0.77278,0.63011,0.76279,2.21344,0.91966,0.00109554,0.00109554,0.00109554
16,39.0308,0.81033,1.09982,0.97506,0.81076,0.83333,0.87595,0.72315,0.76298,1.81419,0.91022,0.00115595,0.00115595,0.00115595
17,40.393,0.75393,0.95765,0.94424,0.76564,0.66667,0.85151,0.72465,0.73999,1.60667,0.89303,0.00120265,0.00120265,0.00120265
18,41.7129,0.81823,1.02154,0.96771,0.85147,0.92349,0.98389,0.82292,0.8198,1.17563,0.9061,0.0011885,0.0011885,0.0011885
19,43.735,0.79147,0.94583,0.95832,0.93209,0.93333,0.97,0.82979,0.73192,1.10127,0.89113,0.00117435,0.00117435,0.00117435
20,46.0264,0.76902,0.93845,0.95528,0.93872,0.89783,0.95056,0.77139,0.89795,1.21758,0.93405,0.00116021,0.00116021,0.00116021
21,47.3087,0.75514,0.97115,0.95626,0.97548,0.91833,0.95397,0.78449,0.85927,1.16417,0.92893,0.00114606,0.00114606,0.00114606
22,48.6366,0.73989,0.89044,0.95537,0.95925,0.94872,0.995,0.85732,0.70468,1.02115,0.90732,0.00113191,0.00113191,0.00113191
23,49.9661,0.74851,0.88516,0.96686,0.96653,0.93333,0.95397,0.82265,0.83328,0.9764,0.9589,0.00111776,0.00111776,0.00111776
24,51.2943,0.73446,0.84581,0.9306,0.9617,0.77067,0.91167,0.75404,0.76663,0.89283,0.91296,0.00110362,0.00110362,0.00110362
25,52.5899,0.70514,0.79101,0.94216,0.7653,0.95826,0.82917,0.71788,0.70717,0.94297,0.89308,0.00108947,0.00108947,0.00108947
26,53.9513,0.68598,0.77975,0.94242,0.76481,0.91156,0.92833,0.76182,0.92371,1.05534,0.97594,0.00107532,0.00107532,0.00107532
27,55.2257,0.72791,0.81046,0.94508,0.91383,0.978,0.995,0.8163,0.82427,0.85051,0.94792,0.00106118,0.00106118,0.00106118
28,56.7655,0.76007,0.87313,0.96383,0.91184,0.91511,0.995,0.8772,0.62762,0.8165,0.88985,0.00104703,0.00104703,0.00104703
29,58.898,0.73777,0.83616,0.95182,0.92127,0.91418,0.995,0.84786,0.6446,0.73899,0.88913,0.00103288,0.00103288,0.00103288
30,60.9134,0.70988,0.78128,0.91935,0.90952,0.83333,0.91167,0.80146,0.66622,0.93468,0.89281,0.00101873,0.00101873,0.00101873
31,62.302,0.75502,0.7673,0.94033,0.88085,0.83333,0.91167,0.81118,0.58089,0.93946,0.88129,0.00100459,0.00100459,0.00100459
32,63.5883,0.75516,0.76746,0.9613,0.91565,0.83333,0.91167,0.79566,0.59848,0.94136,0.8853,0.00099044,0.00099044,0.00099044
33,64.8591,0.69913,0.73066,0.90656,0.92027,0.83333,0.91167,0.81711,0.58216,0.88917,0.88247,0.000976293,0.000976293,0.000976293
34,66.1477,0.70135,0.82874,0.94561,0.9491,0.83333,0.91167,0.80186,0.5646,0.7118,0.89156,0.000962146,0.000962146,0.000962146
35,67.4617,0.70167,0.80271,0.91742,0.91823,0.98503,0.995,0.89513,0.51832,0.71635,0.8753,0.000947999,0.000947999,0.000947999
36,68.7942,0.71346,0.76387,0.93065,0.76351,0.98749,0.91167,0.82014,0.54304,0.95562,0.87019,0.000933851,0.000933851,0.000933851
37,70.2191,0.70766,0.74821,0.91515,0.764,0.98531,0.93944,0.85528,0.51981,0.86557,0.86214,0.000919704,0.000919704,0.000919704
38,72.3732,0.60928,0.65254,0.89745,0.75912,0.98556,0.995,0.93085,0.43889,0.72804,0.84576,0.000905557,0.000905557,0.000905557
39,74.2994,0.62546,0.70002,0.90432,0.75833,0.98716,0.995,0.93085,0.46033,0.75228,0.8453,0.00089141,0.00089141,0.00089141
40,75.6487,0.64877,0.72761,0.8857,0.71803,0.98753,0.91167,0.82268,0.48972,1.04955,0.85485,0.000877263,0.000877263,0.000877263
41,76.9111,0.61536,0.70969,0.91392,0.71485,0.97401,0.91167,0.80985,0.56537,1.11394,0.86438,0.000863116,0.000863116,0.000863116
42,78.1857,0.65775,0.70788,0.92818,0.80911,0.8935,0.91167,0.80153,0.66859,0.90129,0.87963,0.000848969,0.000848969,0.000848969
43,79.4316,0.63739,0.75306,0.90503,0.79549,0.88664,0.90056,0.81756,0.59761,0.94868,0.86065,0.000834822,0.000834822,0.000834822
44,80.7299,0.67577,0.77211,0.93448,0.85983,0.95082,0.93944,0.86802,0.55802,0.67128,0.85143,0.000820675,0.000820675,0.000820675
45,82.1415,0.66844,0.76683,0.94509,0.84532,0.97626,0.93944,0.84382,0.58274,0.61656,0.85565,0.000806528,0.000806528,0.000806528
