epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.905,0.70983,1.53036,1.08748,0.87564,0.96429,0.97237,0.80263,0.71894,1.15755,0.72602,0.000662222,0.000662222,0.000662222
2,205.828,0.77326,0.95079,1.10462,0.79873,0.85714,0.9211,0.65614,1.11231,1.78083,1.03638,0.00130231,0.00130231,0.00130231
3,299.267,0.80573,0.90677,1.10481,0.97833,0.92857,0.98813,0.78248,0.81569,0.82299,0.77961,0.00191573,0.00191573,0.00191573
4,375.995,0.73016,0.76155,1.08468,0.97052,0.94643,0.97941,0.7229,0.82524,0.90622,0.7795,0.00188,0.00188,0.00188
5,458.508,0.69157,0.72522,1.07757,0.71365,0.80112,0.83983,0.70886,0.65833,0.96252,0.72168,0.00184,0.00184,0.00184
6,558.644,0.71116,0.68919,1.06584,0.96491,0.982,0.99014,0.86698,0.69036,0.62048,0.73588,0.0018,0.0018,0.0018
7,658.923,0.67785,0.66838,1.05108,0.96551,0.99968,0.99032,0.86672,0.65917,0.65872,0.7077,0.00176,0.00176,0.00176
8,758.465,0.64997,0.62452,1.03202,0.95828,0.98214,0.99126,0.87887,0.6748,0.5851,0.71621,0.00172,0.00172,0.00172
9,863.814,0.60876,0.56386,1.01573,0.94519,0.92392,0.98467,0.88215,0.6114,0.59429,0.69651,0.00168,0.00168,0.00168
10,964.302,0.59839,0.55205,1.01392,0.9592,1,0.99198,0.85494,0.66603,0.52522,0.70213,0.00164,0.00164,0.00164
11,1071.85,0.58787,0.55117,1.00369,0.95954,0.98214,0.98948,0.84369,0.63535,0.53892,0.70465,0.0016,0.0016,0.0016
12,1176.59,0.56783,0.50606,0.98792,1,0.95802,0.99347,0.88858,0.64881,0.51187,0.69886,0.00156,0.00156,0.00156
13,1283.45,0.56052,0.49057,0.99448,0.99659,1,0.995,0.87745,0.60182,0.45599,0.67363,0.00152,0.00152,0.00152
14,1391,0.5193,0.47754,0.97113,0.97792,0.98214,0.99413,0.89791,0.5356,0.50041,0.65799,0.00148001,0.00148001,0.00148001
15,1496.63,0.51719,0.46171,0.98931,0.94823,1,0.99165,0.89963,0.56352,0.49596,0.65901,0.00144001,0.00144001,0.00144001
16,1596.21,0.53709,0.4589,0.98442,0.99808,1,0.995,0.8963,0.63081,0.46937,0.67687,0.00140001,0.00140001,0.00140001
17,1690.21,0.53684,0.46503,0.99535,0.99664,1,0.995,0.91604,0.55352,0.454,0.66458,0.00136001,0.00136001,0.00136001
18,1762.95,0.5281,0.45067,0.97961,0.99658,1,0.995,0.92281,0.56567,0.48484,0.66745,0.00132001,0.00132001,0.00132001
19,1851.6,0.49551,0.415,0.95927,0.94883,0.99345,0.99239,0.89974,0.52903,0.4923,0.66728,0.00128001,0.00128001,0.00128001
20,1960.21,0.49629,0.43325,0.97421,0.99687,0.94643,0.99149,0.85725,0.65261,0.50199,0.68513,0.00124001,0.00124001,0.00124001
21,2068.52,0.48241,0.41331,0.96914,1,0.99825,0.995,0.86762,0.6206,0.42654,0.66996,0.00120001,0.00120001,0.00120001
22,2168.94,0.45004,0.39492,0.96916,0.99027,1,0.995,0.92169,0.55289,0.45574,0.64439,0.00116001,0.00116001,0.00116001
23,2272.48,0.47489,0.39842,0.95416,0.98048,1,0.99482,0.89342,0.56519,0.48337,0.64904,0.00112001,0.00112001,0.00112001
24,2377.29,0.46346,0.39604,0.95659,1,0.99928,0.995,0.87732,0.53134,0.40535,0.64893,0.00108001,0.00108001,0.00108001
25,2478.95,0.44055,0.3699,0.94116,0.99821,1,0.995,0.889,0.55726,0.38254,0.64389,0.00104001,0.00104001,0.00104001
26,2553.02,0.46014,0.38146,0.9586,0.99975,1,0.995,0.84773,0.59353,0.44483,0.66423,0.00100001,0.00100001,0.00100001
27,2625.77,0.45836,0.38188,0.95338,0.99764,1,0.995,0.89503,0.56122,0.39059,0.65097,0.00096001,0.00096001,0.00096001
28,2698.78,0.4458,0.35966,0.95486,0.99834,1,0.995,0.87064,0.60274,0.37729,0.66291,0.000920011,0.000920011,0.000920011
29,2771.81,0.44088,0.3614,0.94703,0.99767,1,0.995,0.8756,0.56767,0.4291,0.65582,0.000880011,0.000880011,0.000880011
30,2880.04,0.43408,0.35998,0.94818,0.99788,1,0.995,0.87974,0.54996,0.36286,0.64704,0.000840012,0.000840012,0.000840012
31,2987.66,0.43181,0.34712,0.93758,0.99855,1,0.995,0.94753,0.54827,0.40806,0.64798,0.000800012,0.000800012,0.000800012
32,3088.76,0.41299,0.32414,0.93952,0.9996,1,0.995,0.90418,0.5354,0.39737,0.64089,0.000760012,0.000760012,0.000760012
33,3189.67,0.41628,0.33042,0.94517,0.99842,1,0.995,0.9059,0.54344,0.40563,0.64841,0.000720013,0.000720013,0.000720013
34,3296.76,0.39681,0.31562,0.93665,0.99792,1,0.995,0.95554,0.50798,0.39435,0.62765,0.000680013,0.000680013,0.000680013
35,3404.66,0.38791,0.31451,0.93174,0.99886,1,0.995,0.95734,0.50059,0.35282,0.63349,0.000640014,0.000640014,0.000640014
36,3509.13,0.39092,0.31224,0.92924,0.99854,1,0.995,0.96383,0.47275,0.37612,0.61742,0.000600014,0.000600014,0.000600014
37,3618.15,0.38393,0.30112,0.93434,0.99882,1,0.995,0.91211,0.50218,0.38302,0.62134,0.000560014,0.000560014,0.000560014
38,3730.7,0.39417,0.32534,0.93084,0.98089,1,0.99377,0.92034,0.49619,0.39464,0.62367,0.000520015,0.000520015,0.000520015
39,3839.68,0.38104,0.31423,0.93809,0.99928,1,0.995,0.90865,0.50254,0.39135,0.62423,0.000480015,0.000480015,0.000480015
40,3943.91,0.35541,0.29066,0.93046,0.99862,1,0.995,0.89724,0.51479,0.38463,0.63222,0.000440016,0.000440016,0.000440016
41,4053.1,0.27501,0.20005,0.88759,0.99889,1,0.995,0.92926,0.50092,0.39315,0.6206,0.000400016,0.000400016,0.000400016
42,4162.21,0.266,0.18797,0.88611,0.99864,1,0.995,0.95484,0.48776,0.37814,0.61532,0.000360016,0.000360016,0.000360016
43,4314.45,0.2793,0.20036,0.87326,0.99836,1,0.995,0.92982,0.45677,0.38659,0.607,0.000320017,0.000320017,0.000320017
44,4478.85,0.25855,0.18083,0.88245,0.9987,1,0.995,0.91206,0.48655,0.39379,0.61811,0.000280017,0.000280017,0.000280017
45,4645.44,0.25998,0.17903,0.87806,0.99836,1,0.995,0.89908,0.48199,0.41177,0.6176,0.000240018,0.000240018,0.000240018
46,4808.7,0.25818,0.18683,0.8786,0.99875,1,0.995,0.89609,0.47131,0.39015,0.61557,0.000200018,0.000200018,0.000200018
47,4969.77,0.25104,0.17804,0.87218,0.99865,1,0.995,0.88717,0.48621,0.40522,0.62446,0.000160018,0.000160018,0.000160018
48,5129.4,0.24366,0.16727,0.89216,0.99896,1,0.995,0.88694,0.48982,0.38957,0.62467,0.000120019,0.000120019,0.000120019
49,5295.62,0.24086,0.16455,0.88336,0.99868,1,0.995,0.88953,0.48514,0.39824,0.62283,8.00192e-05,8.00192e-05,8.00192e-05
50,5476.15,0.23841,0.16134,0.88413,0.99844,1,0.995,0.8909,0.4868,0.39667,0.62481,4.00196e-05,4.00196e-05,4.00196e-05
