epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7468,0.75916,3.44041,1.16196,0.00826,1,0.33782,0.33069,0.20966,3.14534,0.72048,0.00028179,0.00028179,0.00028179
2,16.9006,0.49022,3.17494,0.99662,0.00707,1,0.34491,0.3415,0.32762,3.01969,0.773,0.000566943,0.000566943,0.000566943
3,23.6804,0.53751,2.86251,0.99882,0.79936,0.05714,0.58951,0.52943,0.5496,2.61789,0.82682,0.000846279,0.000846279,0.000846279
4,30.223,0.5552,2.54729,1.01523,0.75509,0.54592,0.78905,0.7686,0.51177,2.49834,0.82844,0.00088173,0.00088173,0.00088173
5,36.9794,0.5819,2.21243,1.04112,0.62095,0.71429,0.6389,0.60782,0.45146,3.46777,0.79802,0.00087264,0.00087264,0.00087264
6,42.2144,0.62695,1.9931,1.06995,0.40441,0.94286,0.74615,0.71359,0.37354,2.23184,0.77187,0.00086355,0.00086355,0.00086355
7,47.7634,0.53356,1.80388,1.01216,0.65519,0.8,0.87677,0.868,0.39798,1.37054,0.78867,0.000854461,0.000854461,0.000854461
8,54.1459,0.5121,1.63225,1.01452,0.57964,0.79664,0.74033,0.69509,0.38996,1.56788,0.77117,0.000845371,0.000845371,0.000845371
9,59.3188,0.52302,1.57301,1.02637,0.68575,0.76624,0.77321,0.79464,0.32688,1.65232,0.75928,0.000836281,0.000836281,0.000836281
10,65.8841,0.51366,1.51741,1.01323,0.61884,0.94286,0.89332,0.88265,0.28128,1.07248,0.75012,0.000827191,0.000827191,0.000827191
11,71.2416,0.48888,1.43319,1.00104,0.73863,0.91763,0.89548,0.87891,0.33455,0.88274,0.75766,0.000818101,0.000818101,0.000818101
12,77.2505,0.47665,1.34804,0.97711,0.7255,0.9078,0.90964,0.88838,0.31215,0.97431,0.75658,0.000809011,0.000809011,0.000809011
13,83.0525,0.44032,1.36073,0.97367,0.70568,1,0.87655,0.85167,0.31075,0.88583,0.7577,0.000799921,0.000799921,0.000799921
14,88.1503,0.43474,1.2711,0.96459,0.63495,0.78546,0.87655,0.8583,0.32493,1.25188,0.73766,0.000790831,0.000790831,0.000790831
15,94.6759,0.42254,1.16944,0.96229,0.59335,0.97896,0.867,0.83698,0.34556,0.83347,0.74227,0.000781741,0.000781741,0.000781741
16,99.8313,0.43463,1.15499,0.96271,0.67743,0.97635,0.89071,0.88826,0.26856,0.70738,0.72715,0.000772651,0.000772651,0.000772651
17,106.404,0.44644,1.1659,0.97852,0.68843,1,0.89071,0.88504,0.25615,0.64793,0.72212,0.000763561,0.000763561,0.000763561
18,111.487,0.39959,1.11671,0.95933,0.78876,1,0.995,0.98388,0.28423,0.78322,0.75139,0.000754472,0.000754472,0.000754472
19,116.863,0.41244,1.09279,0.96046,0.70855,0.85714,0.995,0.97711,0.32821,0.86777,0.7614,0.000745382,0.000745382,0.000745382
20,123.007,0.39201,1.07664,0.94596,0.80068,0.902,0.99024,0.9852,0.3211,0.62871,0.74661,0.000736292,0.000736292,0.000736292
21,128.213,0.41385,1.10348,0.96375,0.7988,0.91305,0.99024,0.94898,0.30612,0.60718,0.74019,0.000727202,0.000727202,0.000727202
22,135.365,0.39116,1.03749,0.94643,0.81286,0.94552,0.995,0.97526,0.33437,0.60694,0.7467,0.000718112,0.000718112,0.000718112
23,140.458,0.40301,1.03599,0.94943,0.76774,0.91934,0.99024,0.98509,0.23177,0.86486,0.72009,0.000709022,0.000709022,0.000709022
24,146.694,0.39567,1.00905,0.95504,0.82986,1,0.995,0.995,0.2084,0.50427,0.70951,0.000699932,0.000699932,0.000699932
25,152.187,0.3832,0.99894,0.96008,0.94624,0.96831,0.995,0.97365,0.27235,0.54429,0.72813,0.000690842,0.000690842,0.000690842
26,157.266,0.37577,0.9455,0.92988,0.87055,0.77905,0.995,0.97708,0.30751,0.78952,0.74709,0.000681752,0.000681752,0.000681752
27,163.959,0.39959,1.04052,0.95834,0.90773,1,0.995,0.96968,0.33953,0.46974,0.7518,0.000672662,0.000672662,0.000672662
28,169.166,0.39426,0.92908,0.94485,0.80054,1,0.995,0.98079,0.26738,0.54191,0.73,0.000663572,0.000663572,0.000663572
29,175.73,0.37984,0.91154,0.93813,0.86621,1,0.995,0.99282,0.28426,0.54653,0.7287,0.000654483,0.000654483,0.000654483
30,180.773,0.36811,0.88452,0.94035,0.96203,0.95,0.995,0.97697,0.27285,0.43236,0.71536,0.000645393,0.000645393,0.000645393
31,186.258,0.38382,0.92086,0.94474,0.96814,0.97962,0.995,0.99045,0.26515,0.32776,0.70853,0.000636303,0.000636303,0.000636303
32,192.58,0.38045,0.86306,0.94491,0.95551,1,0.995,0.98989,0.26049,0.33543,0.71618,0.000627213,0.000627213,0.000627213
33,197.709,0.36166,0.8336,0.93998,0.95634,0.9968,0.995,0.98367,0.23101,0.34406,0.71922,0.000618123,0.000618123,0.000618123
34,204.41,0.35851,0.84533,0.93754,0.94246,1,0.995,0.98989,0.223,0.3103,0.72062,0.000609033,0.000609033,0.000609033
35,210.012,0.36,0.85167,0.93218,0.88494,1,0.995,0.97023,0.26261,0.35628,0.72028,0.000599943,0.000599943,0.000599943
36,216.49,0.36765,0.85894,0.94435,0.96161,1,0.995,0.96657,0.23371,0.33861,0.71619,0.000590853,0.000590853,0.000590853
37,221.774,0.34542,0.84336,0.93089,0.93754,1,0.995,0.995,0.23473,0.36734,0.71376,0.000581763,0.000581763,0.000581763
38,226.98,0.34559,0.80188,0.93077,0.9662,1,0.995,0.99045,0.23485,0.30046,0.71906,0.000572673,0.000572673,0.000572673
39,233.391,0.33179,0.7907,0.92851,0.93462,0.9499,0.995,0.98989,0.2072,0.43963,0.71037,0.000563583,0.000563583,0.000563583
40,238.613,0.32807,0.78727,0.9251,0.96479,0.97797,0.995,0.99013,0.24541,0.32761,0.71434,0.000554494,0.000554494,0.000554494
41,245.149,0.32303,0.74574,0.93036,0.95323,0.9786,0.995,0.98871,0.24948,0.35082,0.72306,0.000545404,0.000545404,0.000545404
42,250.358,0.33747,0.69843,0.92193,0.96828,0.98179,0.995,0.995,0.21821,0.29905,0.71265,0.000536314,0.000536314,0.000536314
43,256.59,0.34662,0.74413,0.93133,0.96517,1,0.995,0.98276,0.25072,0.27825,0.71547,0.000527224,0.000527224,0.000527224
44,262.318,0.32889,0.70216,0.92881,0.96988,1,0.995,0.98787,0.28259,0.30161,0.71961,0.000518134,0.000518134,0.000518134
45,267.503,0.34716,0.73242,0.94232,0.9609,1,0.995,0.97738,0.28305,0.31468,0.7225,0.000509044,0.000509044,0.000509044
46,274.012,0.34073,0.75717,0.9331,0.94931,0.92519,0.995,0.995,0.25572,0.3878,0.72334,0.000499954,0.000499954,0.000499954
