epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6675,1.452,4.21059,1.37693,0.00563,0.55556,0.00941,0.00406,1.13534,3.75341,1.19688,6.363e-05,6.363e-05,6.363e-05
2,29.7084,1.17784,3.95939,1.15341,0.01922,0.94444,0.61824,0.42616,0.9764,3.38672,1.01383,0.000135,0.000135,0.000135
3,31.8355,1.11813,3.67443,1.1005,0.01745,1,0.60256,0.4751,0.7905,3.2333,0.96475,0.00020493,0.00020493,0.00020493
4,34.2306,1.07422,3.43419,1.05879,0.0198,1,0.58867,0.48916,0.6899,3.14057,0.95745,0.000273421,0.000273421,0.000273421
5,36.2074,1.03972,3.12612,1.04313,0.02052,1,0.57446,0.44042,0.707,3.0703,0.9905,0.000340471,0.000340471,0.000340471
6,38.4105,1.11045,2.88319,1.07454,0.01942,1,0.77278,0.50644,0.74265,2.87369,1.01096,0.000406082,0.000406082,0.000406082
7,39.9834,1.11587,2.46537,1.10246,0.02032,1,0.495,0.387,0.7085,2.6892,1.02153,0.000470253,0.000470253,0.000470253
8,41.6214,1.12995,2.15561,1.10526,1,0.3953,0.82283,0.6804,0.74852,2.15011,0.94148,0.000532984,0.000532984,0.000532984
9,44.0275,1.06835,1.88815,1.08093,1,0.42994,0.995,0.64045,0.929,1.88897,1.06747,0.000594275,0.000594275,0.000594275
10,46.3732,1.10028,1.79859,1.09381,1,0.79644,0.995,0.6472,0.88609,1.86015,1.04144,0.000654126,0.000654126,0.000654126
11,48.6552,1.06877,1.56852,1.06185,0.96129,0.97496,0.995,0.71574,0.83983,1.0955,0.98448,0.000712538,0.000712538,0.000712538
12,50.2677,1.06908,1.49812,1.09104,0.96918,0.99442,0.995,0.79096,0.6284,0.76709,0.89723,0.000769509,0.000769509,0.000769509
13,51.8485,1.03984,1.3966,1.04507,0.9648,0.98548,0.995,0.7777,0.74668,0.81278,0.93439,0.000801011,0.000801011,0.000801011
14,53.3554,1.01705,1.34856,1.01814,0.79502,0.98201,0.91167,0.67035,0.78745,0.82689,0.96534,0.000792012,0.000792012,0.000792012
15,54.9935,1.00438,1.31584,1.03737,0.81573,0.9806,0.91167,0.76036,0.75421,1.00057,0.96152,0.000783013,0.000783013,0.000783013
16,56.6075,1.00232,1.36262,1.0633,0.90722,0.83103,0.995,0.71013,0.82559,1.14267,0.98621,0.000774013,0.000774013,0.000774013
17,58.3528,1.00805,1.20434,1.03981,0.9425,0.89893,0.995,0.73385,0.78765,0.8456,1.06349,0.000765014,0.000765014,0.000765014
18,60.4237,0.96894,1.17141,1.02964,0.96442,1,0.995,0.74611,0.7796,0.70749,1.0286,0.000756015,0.000756015,0.000756015
