epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6441,1.28863,4.37525,1.4628,0.00457,0.5,0.24435,0.16843,1.20416,3.16146,1.55159,6.363e-05,6.363e-05,6.363e-05
2,18.269,1.02146,3.98872,1.24155,0.00393,0.5,0.4975,0.38655,0.79234,3.11753,1.19591,0.000135,0.000135,0.000135
3,21.5667,1.04806,3.68828,1.21816,0.03354,0.75,0.52047,0.42368,0.67179,3.05468,1.08399,0.00020493,0.00020493,0.00020493
4,24.7421,0.98271,3.30349,1.15646,0.01825,1,0.58795,0.45693,0.81431,2.79786,1.18152,0.000273421,0.000273421,0.000273421
5,27.8162,0.95368,2.92998,1.17013,0.00928,1,0.995,0.66288,1.00379,2.46899,1.40961,0.000340471,0.000340471,0.000340471
6,32.6475,0.99329,2.80192,1.20353,0.99039,0.5,0.995,0.54366,1.22996,2.53963,1.67127,0.000406082,0.000406082,0.000406082
7,35.6398,1.02419,2.72434,1.25313,1,0.46958,0.81643,0.60022,1.06726,2.41904,1.40801,0.000470253,0.000470253,0.000470253
8,39.0265,0.9916,2.50124,1.19995,1,0.30492,0.87,0.68933,0.86738,2.30538,1.24011,0.000532984,0.000532984,0.000532984
9,41.9841,0.94721,2.30697,1.18723,0.82061,0.61749,0.87,0.6383,0.81832,2.26205,1.26108,0.000594275,0.000594275,0.000594275
10,46.2862,0.99593,2.14077,1.21006,0.77967,0.70187,0.78071,0.57826,1.05592,2.00563,1.41609,0.000654126,0.000654126,0.000654126
11,50.6716,1.0922,2.03322,1.24344,0.75514,0.73332,0.91167,0.60782,1.01586,1.66377,1.2989,0.000712538,0.000712538,0.000712538
12,53.773,1.02384,2.00736,1.23808,0.74466,0.96498,0.87,0.6024,0.88345,1.68693,1.40277,0.000769509,0.000769509,0.000769509
13,56.6408,0.9782,1.88831,1.17831,0.76647,1,0.91167,0.69769,0.71113,1.27404,1.27217,0.000801011,0.000801011,0.000801011
14,60.5645,0.91427,1.73262,1.15365,0.79088,1,0.91167,0.76019,0.71117,1.29051,1.36057,0.000792012,0.000792012,0.000792012
15,64.4018,0.92514,1.7507,1.13921,0.67477,0.98327,0.91167,0.71287,0.73686,1.69861,1.28304,0.000783013,0.000783013,0.000783013
16,67.3248,0.94227,1.86496,1.17074,0.7115,0.8511,0.90617,0.72232,0.67499,1.66925,1.13453,0.000774013,0.000774013,0.000774013
17,70.3031,0.91565,1.77932,1.17706,0.73293,0.97349,0.87,0.63934,0.67038,1.32098,1.15796,0.000765014,0.000765014,0.000765014
