epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.233,0.86321,1.67697,1.19598,0.9156,0.89744,0.89892,0.72617,0.75922,1.07324,0.78271,0.000661499,0.000661499,0.000661499
2,311.834,0.83189,0.94209,1.16774,0.87704,0.91458,0.88742,0.6657,0.86462,1.33309,0.94048,0.00131488,0.00131488,0.00131488
3,377.83,0.83963,0.86776,1.15288,0.61885,0.69231,0.61778,0.5139,0.74483,1.92618,0.79293,0.00195494,0.00195494,0.00195494
4,444.951,0.83605,0.84462,1.14498,0.87119,0.82051,0.87512,0.67118,0.92352,1.14368,0.94555,0.00194,0.00194,0.00194
5,511.162,0.78716,0.78023,1.12343,0.85496,0.94872,0.95994,0.79855,0.71017,0.90993,0.84293,0.00192,0.00192,0.00192
6,577.747,0.73663,0.71762,1.0963,0.95945,0.89744,0.95272,0.80579,0.5791,0.78729,0.73652,0.0019,0.0019,0.0019
7,644.476,0.72629,0.67706,1.09277,0.92104,0.89724,0.9739,0.84492,0.56969,0.67535,0.71566,0.00188,0.00188,0.00188
8,710.818,0.69773,0.6658,1.08098,0.88266,0.97436,0.98037,0.86618,0.58658,0.63759,0.72115,0.00186,0.00186,0.00186
9,774.555,0.6921,0.66825,1.0809,0.98992,1,0.995,0.87661,0.58452,0.55289,0.72149,0.00184,0.00184,0.00184
10,836.508,0.65144,0.6016,1.05464,0.87338,0.94872,0.9508,0.82995,0.48687,0.61775,0.66644,0.00182,0.00182,0.00182
11,898.449,0.67036,0.61891,1.06443,0.94971,0.96858,0.97743,0.88059,0.5262,0.55453,0.68025,0.0018,0.0018,0.0018
12,960.393,0.66286,0.61421,1.07274,0.94826,1,0.98915,0.89122,0.50516,0.50046,0.74356,0.00178,0.00178,0.00178
13,1022.32,0.6373,0.57981,1.05734,0.91769,0.94872,0.95554,0.82227,0.48529,0.507,0.68213,0.00176,0.00176,0.00176
14,1084.14,0.62018,0.57778,1.05265,0.9563,0.92308,0.96582,0.8757,0.44158,0.53245,0.65927,0.00174,0.00174,0.00174
15,1149.29,0.61679,0.55924,1.05003,0.94656,0.90847,0.98599,0.91266,0.45845,0.5309,0.65691,0.00172,0.00172,0.00172
16,1217.03,0.61249,0.55542,1.04267,0.94142,0.92308,0.98151,0.88565,0.42751,0.4401,0.63708,0.0017,0.0017,0.0017
17,1283.94,0.60593,0.55757,1.03818,1,0.87,0.98191,0.89825,0.52295,0.55584,0.69015,0.00168,0.00168,0.00168
18,1350.26,0.6156,0.56037,1.05181,0.94572,0.89365,0.97594,0.83486,0.64179,0.6186,0.71098,0.00166,0.00166,0.00166
19,1417.3,0.58837,0.51991,1.03707,0.90808,0.84615,0.91341,0.78176,0.60648,0.58266,0.74434,0.00164,0.00164,0.00164
20,1483.67,0.58712,0.51901,1.0333,1,0.86627,0.94193,0.90157,0.56857,0.5482,0.73116,0.00162,0.00162,0.00162
21,1550.85,0.57488,0.52116,1.03131,0.94758,0.94872,0.96336,0.88838,0.56552,0.63733,0.71577,0.0016,0.0016,0.0016
22,1617.44,0.55753,0.51665,1.03013,0.91645,0.92308,0.94302,0.87704,0.524,0.54193,0.7022,0.00158,0.00158,0.00158
23,1684.56,0.55257,0.50493,1.02758,0.92197,0.92308,0.95532,0.86624,0.50525,0.54375,0.68928,0.00156,0.00156,0.00156
24,1751.01,0.54158,0.4806,1.01271,0.96837,0.89744,0.97122,0.88502,0.41514,0.455,0.63718,0.00154,0.00154,0.00154
25,1817.93,0.56711,0.5162,1.03349,0.98455,0.97436,0.98918,0.90785,0.42901,0.41096,0.62449,0.00152,0.00152,0.00152
26,1881.26,0.55069,0.48718,1.01684,0.9322,0.89744,0.97393,0.81735,0.52157,0.53115,0.74592,0.00150001,0.00150001,0.00150001
27,1944.24,0.53976,0.47582,1.01177,0.91884,0.94872,0.97658,0.87016,0.48615,0.45171,0.64785,0.00148001,0.00148001,0.00148001
28,2007.12,0.52278,0.46456,1.00353,0.96825,0.94872,0.98296,0.91299,0.4471,0.37753,0.63376,0.00146001,0.00146001,0.00146001
29,2070.66,0.52895,0.45571,1.00901,0.97296,0.92308,0.9681,0.87236,0.49227,0.47166,0.73601,0.00144001,0.00144001,0.00144001
30,2133.76,0.54383,0.47675,1.02743,0.94595,0.92308,0.98076,0.91215,0.42617,0.38521,0.64433,0.00142001,0.00142001,0.00142001
31,2196.7,0.52772,0.47031,1.01572,0.96148,0.92308,0.97092,0.93411,0.38791,0.40638,0.62942,0.00140001,0.00140001,0.00140001
32,2260.14,0.55215,0.49551,1.02607,0.94089,0.97436,0.98334,0.93766,0.39691,0.3404,0.62334,0.00138001,0.00138001,0.00138001
33,2323.42,0.55321,0.48671,1.02335,0.96568,0.89744,0.9543,0.90739,0.44842,0.56968,0.66008,0.00136001,0.00136001,0.00136001
34,2386.28,0.52827,0.44967,1.00945,0.97499,0.89744,0.98338,0.92923,0.39832,0.4119,0.613,0.00134001,0.00134001,0.00134001
35,2449.05,0.54467,0.46981,1.02964,0.96028,0.87179,0.96724,0.87762,0.41687,0.4854,0.63366,0.00132001,0.00132001,0.00132001
36,2512.21,0.52719,0.47889,1.01318,0.88583,0.89744,0.9252,0.86795,0.45801,0.48814,0.69146,0.00130001,0.00130001,0.00130001
37,2575.26,0.51235,0.44929,1.00422,0.93852,0.92308,0.9597,0.92571,0.38915,0.43142,0.62877,0.00128001,0.00128001,0.00128001
38,2638.05,0.53144,0.45183,1.01606,0.92197,0.92308,0.95779,0.8893,0.48273,0.51095,0.69683,0.00126001,0.00126001,0.00126001
39,2701.4,0.51847,0.44687,1.01084,0.97269,0.91349,0.9582,0.91519,0.39512,0.42595,0.63752,0.00124001,0.00124001,0.00124001
40,2764.61,0.50542,0.42886,1.00624,0.97275,0.9153,0.98155,0.93552,0.35178,0.37336,0.59264,0.00122001,0.00122001,0.00122001
41,2827.58,0.50312,0.44492,1.00462,0.90448,0.97127,0.98552,0.93918,0.37446,0.41648,0.60296,0.00120001,0.00120001,0.00120001
42,2890.76,0.52048,0.45642,1.00861,0.94666,0.91028,0.97751,0.93121,0.33591,0.38163,0.59074,0.00118001,0.00118001,0.00118001
43,2953.85,0.48446,0.44085,0.99826,0.9661,0.92308,0.95563,0.92311,0.34489,0.4163,0.60684,0.00116001,0.00116001,0.00116001
44,3017.08,0.48978,0.43169,0.99564,0.90467,1,0.98932,0.94536,0.33132,0.32314,0.58937,0.00114001,0.00114001,0.00114001
45,3080.67,0.49375,0.43288,1.00292,0.95752,0.92308,0.96282,0.91048,0.35277,0.38313,0.61011,0.00112001,0.00112001,0.00112001
46,3150.15,0.49303,0.43486,0.99674,0.9207,0.94872,0.97253,0.87391,0.39105,0.40543,0.64752,0.00110001,0.00110001,0.00110001
47,3217.21,0.48249,0.4251,0.99935,0.94846,0.94872,0.97896,0.93828,0.35604,0.35112,0.60809,0.00108001,0.00108001,0.00108001
48,3284.46,0.49448,0.42474,1.00767,0.9319,0.89744,0.95143,0.89794,0.42163,0.39143,0.65668,0.00106001,0.00106001,0.00106001
49,3352,0.4884,0.42207,1.00051,0.92682,0.97417,0.98826,0.93364,0.40126,0.41583,0.6078,0.00104001,0.00104001,0.00104001
50,3419.17,0.48707,0.41162,0.99481,0.96779,0.89744,0.96494,0.91491,0.38995,0.38582,0.65561,0.00102001,0.00102001,0.00102001
51,3489.35,0.48336,0.40469,0.98866,0.94946,0.96354,0.98641,0.92359,0.37158,0.34694,0.5977,0.00100001,0.00100001,0.00100001
52,3557.06,0.47906,0.40466,0.99107,0.97422,0.96889,0.98495,0.89647,0.38275,0.31657,0.61793,0.00098001,0.00098001,0.00098001
53,3624.21,0.4655,0.38714,0.98392,0.95943,0.89744,0.97313,0.94062,0.32845,0.36795,0.60475,0.00096001,0.00096001,0.00096001
54,3691.75,0.47671,0.41598,0.99629,0.94964,0.97436,0.99064,0.95458,0.31831,0.30431,0.57849,0.000940011,0.000940011,0.000940011
55,3760,0.4668,0.39862,0.9881,0.9697,0.92308,0.9805,0.93858,0.34969,0.35318,0.6032,0.000920011,0.000920011,0.000920011
56,3828.58,0.48062,0.40683,0.99692,1,0.91481,0.97181,0.93426,0.36161,0.39948,0.61373,0.000900011,0.000900011,0.000900011
57,3896.55,0.47477,0.40146,0.99637,0.90797,0.92308,0.96027,0.89893,0.3521,0.37351,0.6114,0.000880011,0.000880011,0.000880011
58,3963.88,0.4686,0.4027,0.98394,0.91925,0.92308,0.97523,0.92449,0.35112,0.40493,0.59572,0.000860011,0.000860011,0.000860011
59,4031.31,0.45709,0.38179,0.98602,0.94839,0.9425,0.97076,0.93387,0.34794,0.35936,0.61675,0.000840012,0.000840012,0.000840012
60,4099.1,0.45559,0.38235,0.99212,0.96793,0.92308,0.97161,0.92984,0.32131,0.3376,0.60484,0.000820012,0.000820012,0.000820012
61,4167.18,0.46259,0.39983,0.99202,0.97221,0.92308,0.98757,0.94912,0.32609,0.35558,0.5874,0.000800012,0.000800012,0.000800012
62,4237.59,0.47437,0.40297,0.99124,0.96835,0.92308,0.98578,0.93297,0.3204,0.35535,0.58285,0.000780012,0.000780012,0.000780012
63,4307.46,0.45376,0.37644,0.9832,0.90508,1,0.98622,0.95372,0.32243,0.37059,0.59393,0.000760012,0.000760012,0.000760012
64,4374.65,0.4619,0.38046,0.99417,0.94929,0.96017,0.99111,0.93539,0.36112,0.31884,0.60119,0.000740013,0.000740013,0.000740013
65,4441.85,0.44884,0.3899,0.98674,0.98023,0.89744,0.98616,0.94895,0.33928,0.3401,0.59118,0.000720013,0.000720013,0.000720013
66,4510.13,0.44625,0.37669,0.98762,0.96388,0.97436,0.99186,0.93204,0.36899,0.36911,0.60775,0.000700013,0.000700013,0.000700013
67,4577.85,0.44889,0.38021,0.98915,0.95347,0.94872,0.98466,0.90809,0.39308,0.41056,0.60669,0.000680013,0.000680013,0.000680013
68,4645.36,0.43267,0.37115,0.97363,0.96691,0.97436,0.99105,0.93056,0.40286,0.39165,0.6136,0.000660013,0.000660013,0.000660013
69,4713.3,0.46089,0.38636,0.9881,0.97291,0.97436,0.97466,0.91826,0.40884,0.35935,0.63124,0.000640014,0.000640014,0.000640014
70,4780.47,0.42027,0.35784,0.97602,0.97357,0.94473,0.98922,0.95579,0.37844,0.36766,0.60209,0.000620014,0.000620014,0.000620014
71,4850.58,0.431,0.36306,0.97821,0.9672,0.97436,0.99101,0.95335,0.34358,0.33842,0.59129,0.000600014,0.000600014,0.000600014
72,4919.29,0.42801,0.35899,0.97509,0.97023,0.97436,0.99048,0.95033,0.32327,0.31944,0.58875,0.000580014,0.000580014,0.000580014
73,4986.7,0.44245,0.37439,0.98682,0.96323,0.97436,0.98804,0.96632,0.30434,0.33157,0.58037,0.000560014,0.000560014,0.000560014
74,5054.35,0.43645,0.36723,0.97931,0.97354,0.94349,0.98593,0.954,0.36416,0.36724,0.59922,0.000540015,0.000540015,0.000540015
75,5122.52,0.42529,0.36651,0.97917,0.92384,0.97436,0.98491,0.95558,0.32411,0.34424,0.59355,0.000520015,0.000520015,0.000520015
76,5189.6,0.43398,0.37703,0.98207,0.96485,0.97436,0.99092,0.95412,0.30856,0.28262,0.57581,0.000500015,0.000500015,0.000500015
77,5256.66,0.44169,0.36642,0.98977,0.9612,0.97436,0.99229,0.9705,0.27175,0.23119,0.56745,0.000480015,0.000480015,0.000480015
78,5324.57,0.41728,0.35305,0.97881,0.94921,0.97436,0.99229,0.93238,0.28527,0.26226,0.57479,0.000460015,0.000460015,0.000460015
79,5392.79,0.42527,0.36228,0.9813,0.94849,0.97436,0.9901,0.96695,0.27618,0.29014,0.57166,0.000440016,0.000440016,0.000440016
80,5460.63,0.40978,0.35127,0.97065,0.96412,0.97436,0.99105,0.97084,0.30013,0.30629,0.57282,0.000420016,0.000420016,0.000420016
81,5529.03,0.4097,0.33476,0.96751,0.96581,0.97436,0.98991,0.96242,0.28602,0.30123,0.5757,0.000400016,0.000400016,0.000400016
82,5596.61,0.41267,0.34344,0.97231,0.96611,0.97436,0.99152,0.97088,0.27717,0.24598,0.57078,0.000380016,0.000380016,0.000380016
83,5664.65,0.40504,0.33839,0.97576,0.95987,0.97436,0.98855,0.96153,0.28569,0.2619,0.57795,0.000360016,0.000360016,0.000360016
84,5732.87,0.38712,0.32708,0.96726,0.96434,0.97436,0.99145,0.97316,0.26055,0.25307,0.5688,0.000340017,0.000340017,0.000340017
85,5803.99,0.40226,0.34153,0.97827,0.9596,0.97436,0.99067,0.97477,0.26055,0.25597,0.57043,0.000320017,0.000320017,0.000320017
